;text;result;predict_cl
0;выполнено ранее компания обслуживалась в пао сбербанк с другим инн тарифы очень высокие для г кушвы банки конкуренты предлагают рко в несколько раз дешевле в сложное время экономия это самое главное планируют и дальше сотрудничать с другим коммерческим банком;отказ не устр параметры;дорогие тарифы
1;клиент на негативе к сбербанку не устраивают наши условия;отказ не лоялен к банку;условия
2;клиент работает с альфа банком и инвест банком интересно снятие и пополнения счета т к согласно законодательства клиент должен снимать деньги со своего счета ломбардная деятельность пополняет счета под а снимает под снимает большие суммы более одного миллиона снимать в банк приезжать ему не удобно рядом офисов по обслуживанию юр лиц нет за ведение счета в инвестбанке нет абонентской платы в альфа банке за руб снимает без лимитно тарифы сбербанка не устроили отказ от встречи;отказ не устр цена продукта;др банк
3;клиент обслуживается в другом банке в сбербанке счет открывать не хотят гареян мкртич оганнесович согласился лишь рассмотреть предложение по акции новый клиент на электроной почте migareyan arm mail ru;отказ не устр цена продукта;счет есть сб
4;переговоры с бухгалтером евгенией давно обслуживаются в другом банке есть там зп все устраивает группа из компаний переход затруднителен направлено кп для руководителя при необходимости обратятся от встречи отказ не кредитуются;отказ сотруднич с др банком;др банк
5;не удалось прокредитоваться в сб перешли в др банк по текуему статусуинф не разъясняют сбр;отказ нет потребности;др банк
6;клиента не устраивают тарифы по пу на данный момент обслуживаются в банк открытие р в месяц обслуживание по рко их полностью устраивает переходить на обалуживание в пао сбербанк не планируют;отказ сотруднич с др банком;др банк
7;уб ркокмнс клиент открывал счет в сбербанке для кредитования в убрире говорят обслуживатся дешевле поэтому в сбербанке счет закрыли и переходить в сбербанк не хотят;отказ не устр цена продукта;счет есть сб
8;у организации только территориально расположены на территории г алапаевска фактически основная деятельность ведется в г екатеринбурге;отказ нет потребности;территориально
9;уб ркокмнс клиент сейчас обслуживает счет в кольцо урала тал за обслуживание счета ничего не бурут только за платежки клиент пояснил что если он передет в сбербанк и ему снизят комиссию за тэ то все равно не будет выгодно т к у него проходят не большие суммы по терминалу до т р;отказ не устр цена продукта;дорогие тарифы
10;сотрудничает с другим банком в сбербанке дорогое обслуживание;отказ не устр цена продукта;дорогие тарифы
11;обслуживаются в челябинвесте никакого желания на данный момент они не испытывают для открытия расчетного счета в нашем банке;отказ наличие кэптивного банк;пока
12;дорогие тарифы в банке в котором на данный момент обслуживаются гороздо дешевле и он находится рядом с офисом самоинкассацией пользоваться не хочет;отказ нет потребности;дорогие тарифы
13;обслуживается и кредитуется в в мдм двоюродная сестра работает очень выгодное инд обслуживание зарплатный не заинтересовал наличными выдают;отказ нет потребности;др банк
14;ничего не интересует все устраивает лизинг и кредитование не требуется;отказ нет потребности;не нужен\не может\не хочет
15;перег проваед клиента устраивает свыой банк если что то измениться обязательно обратится;отказ нет потребности;др банк
16;р сч имеем все устраивает по кредитованию если захотим кредитоваться обратимся в тот банк где обслуживаемся;отказ сотруднич с др банком;др банк
17;пу кредитование вд аптечный бизнес отказ от перехода на обсл в сбербанк выбоали промсвязьбанк в заемных средствах потребности нет отказ;отказ нет потребности;отказ
18;у клиента есть расчетный счет со статусом работает;отказ нет потребности;счет есть
19;один номер никто не берет а другой не подключен к станции;отказ нет потребности;не ответили
20;проведение переговоров потребность отсутствует счет открыт в кубанькредит банке;отказ нет потребности;не нужен\не может\не хочет
21;негатив клиент подтвердил дальнейшее сотрудничество с банком при возникновении потребностей в открытии р сч обраться в банк на данный момент счет открыт в втб;отказ нет потребности;др банк
22;проведены переговоры по открытию счета озвучены тарифы и преимущества пу пока потребности нет;отказ нет потребности;дорогие тарифы
23;проведены переговоры с клеинтом по вопросу перехода на обслуживанеи в сбербанк раасказаны улсоя клеинт подумакет;отказ нет потребности;выполнено
24;проведены перегворы по вопросу открытия расчетного счета озвучены условия акции на текущий момент на рко в белгородсоцбанке устраивают тарифы открытие второго счета не планируют;отказ нет потребности;др банк
25;ца открбсчксб на данный момент отказались от сотрудничества;отказ нет потребности;отказ
26;ок не устраивают тарифы банка работает в чкпб;отказ не устр параметры;дорогие тарифы
27;проведены переговоры рассказано о продукте отказ продукт не интересен;отказ нет потребности;не нужен\не может\не хочет
