;TEXT;class
0;нет_потребности кредитовании;не нужен\не может\не хочет
1;клиент не_подходит возрасту;возраст
2;кредит пока не_рассматривает приобретать авто не_планирует расширяться пока не_планируют подойдет ближайшее время оформить снизить комиссию перечисление;пока
3;не_рассматривает кредит;есть кредит
4;отказ клиента нет_необходимости лизинге не_практикует креди тование;отказ
5;ближайшее время приобретение тарнспорта не_планируется потребность финанировании отсутсвует;не нужен\не может\не хочет
6;нет_потр;не нужен\не может\не хочет
7;слов бухгалтера галины компания сейчас кредитуется решение принято руководством москве руководитсов компании уровне_екатеринбурга не_принимает таких решений;территориально
8;предложение кредита доверие не_актуален;отказ
9;не_отработана сроки;не нужен\не может\не хочет
10;встреча;встреча
11;назначена встреча клиентом лизингу сотрудник сбербанк лизинг заварухина олеся;встреча
12;переговоры владимиром игорьевичем назначена встреча более подробной консультации;встреча
13;недозвон;не ответили
14;потребности кредитовании нет;не нужен\не может\не хочет
15;дмитрий викторович живет москве офис перми залога нет_рассказала кредитование беззалоговое доверие нет_заинтересованности лизинг не_заинтересовал;территориально
16;течениии телефон недопступен других контактных данных нет;нет контактов
17;приедут консультацию кредитованию;не нужен\не может\не хочет
18;кредитование не_интересует;отказ
19;необднократно предлогаля кредит потребности нет;не нужен\не может\не хочет
20;клиента нет_потребности кредитовании лизинге занимакется оказанием услуг погрузке обходится собст средствами;не нужен\не может\не хочет
21;деятельность доставка пенсии нет_потребности продукте;не ведет деятельность
22;отказ клиента нет_потребности;отказ
23;кредитование не_интрересует;отказ
24;деятельность прекращена расчетеный счет закрыт;не ведет деятельность
25;не_отработана сроки;не нужен\не может\не хочет
26;неверные контактные данные;нет контактов
27;отказ клиента нет_потребности продукте нет_необходимости кредитных средствах;отказ
28;не_актуально не_хотят больше залезать долги;не разговаривают
29;клиента нет_потребности кредитовании лизинг не_рассматривают;др продукт сб
30;потребность кредитовании льготном автолизинге минпромторга отсутствует связи спецификой деятельности оператор универсального рынка аксиос также является поручителем эрмис;не нужен\не может\не хочет
31;кредитования не_интересует отказ обходятся своими обеспечивают бизнес своими;не ведет деятельность
