;text;cl_n;predict_cl
0;не интересует;не нужен\не может\не хочет;не нужен\не может\не хочет
1;котегорический отказ;отказ категорический;отказ категорический
2;переговоры проведены потребность отсутствует;не нужен\не может\не хочет;не нужен\не может\не хочет
3;нет необходимости;не нужен\не может\не хочет;не нужен\не может\не хочет
4;неинтересно дорого;дорогие тарифы;дорогие тарифы
5;дорогое обслуживание;дорогие тарифы;дорогие тарифы
6;не лоялен к банку;не лоялен ;не лоялен 
7;не хочет переходить категорически;не нужен\не может\не хочет;не нужен\не может\не хочет
8;отказ реорганизация;реорганизация;реорганизация
9;отказ не объесняют причину;отказ;отказ
10;пока не нужно;пока;пока
11;отказ не иентерсеует;отказ;отказ
12;хозяйственная деятльность не осуществляется;не нужен\не может\не хочет;не нужен\не может\не хочет
13;переоформлен на другое ип;реорганизация;реорганизация
14;клиентликвидарован архив;ликвидация;ликвидация
15;есть валютные счета;счет есть;счет есть
16;телефон клиента выключен;не ответили;не ответили
17;счет не будет открывать;отказ;не нужен\не может\не хочет
18;кредиты сбербанк не даёт;не соответсвует требованиям;не соответсвует требованиям
19;счет открыт не пользуется;не нужен\не может\не хочет;счет есть
20;услуга не интересует;не нужен\не может\не хочет;не нужен\не может\не хочет
21;отказ организация не кредитуется;отказ;отказ
22;нет контактных данных клиента;нет контактов;нет контактов
23;организация ликвидируется счет закрыт;ликвидация;ликвидация
24;филиал лпр г екатеринбург;территориально;территориально
25;ип не действует; не ведет деятельность; не ведет деятельность
26;открыли счет в совкомбанке;др банк;др банк
27;работают только через казначейство;казн. + бюджет;казн. + бюджет
28;зп договор расторгнут;отказ;отказ
29;клиент переводит бизнес;реорганизация;реорганизация
30;организация бюджетная;казн. + бюджет;казн. + бюджет
31;работает за налич расчет;не нужен\не может\не хочет;не нужен\не может\не хочет
32;организация в стадии реорганизации;реорганизация;реорганизация
33;неверные контакты поиск новых;нет контактов;нет контактов
34;ничего не нужно; не ведет деятельность;не нужен\не может\не хочет
35;сотрудн с другим банком;др банк;др банк
36;обсл в мегаполисе дорого;дорогие тарифы;дорогие тарифы
37;имеется действующий р с;счет есть;счет есть
38;нет контактов;нет контактов;нет контактов
39;кредитуется;др продукт сб;отказ
40;отказ клиента решение учредителей;голов. комп;голов. комп
41;менять банк не собираются;др банк;др банк
42;маленькие обороты;небольшие обороты;небольшие обороты
43;не оказывают платные услуги;не нужен\не может\не хочет;не нужен\не может\не хочет
44;неинетересует;не нужен\не может\не хочет;не нужен\не может\не хочет
45;клиент обходится собственными средствами;собст ср;собст ср
46;рук ль обдумает предложение;думает;думает
47;очень дорого в сбере;дорогие тарифы;дорогие тарифы
48;нет потребности выбрали банк;не нужен\не может\не хочет;не нужен\не может\не хочет
49;убрать в архив; не ведет деятельность; не ведет деятельность
50;перезвонить числа;звонок;звонок
51;предложение не заинтересовало;не нужен\не может\не хочет;не нужен\не может\не хочет
52;проконсультировал отказ;отказ;отказ
53;высокая комиссия;дорогие тарифы;дорогие тарифы
54;нет контактных данных спарк;нет контактов;нет контактов
55;р нет потребности;не нужен\не может\не хочет;не нужен\не может\не хочет
56;счет открыт в втб;др банк;др банк
57;счет в сбрф открыт;др банк;счет есть сб
58;ликвидировано егрюл данные спарк;ликвидация;ликвидация
59;прекращение деятельности организации; не ведет деятельность; не ведет деятельность
60;нет потребности расчитываюсь наличными;не нужен\не может\не хочет;не нужен\не может\не хочет
61;разговор состоялся;надежда есть;отказ
62;счет закрыт;счет закрыт;счет закрыт
63;валютные счета не нужны;не нужен\не может\не хочет;не нужен\не может\не хочет
64;валютный счет открыт;счет есть;счет есть
65;вылютный счет не требуется;не нужен\не может\не хочет;не нужен\не может\не хочет
66;уже выбрали другой банк;др банк;др банк
67;нет потребности в продукте;не нужен\не может\не хочет;не нужен\не может\не хочет
68;р организация банкрот;банкротство;банкротство
69;сотрудничает с банком открытие;др банк;др банк
70;продукт не актуален;счет есть;не нужен\не может\не хочет
71;агрессивен ничего не надо;не лоялен ;не лоялен 
72;пока подключать не будем;пока;пока
73;ооо закрыт; не ведет деятельность; не ведет деятельность
74;вдэда нет;не нужен\не может\не хочет;не нужен\не может\не хочет
75;счет открыт в втб;др банк;др банк
76;не обслуживается в банке;отказ;др банк
77;снижения нет;дорогие тарифы;дорогие тарифы
78;назначен звонок;звонок;звонок
79;подумает но дорого;думает;думает
80;сотруднич с др банком;др банк;др банк
81;ликвидирован как ип;ликвидация;ликвидация
82;сбербанк не устраивает тарифами;дорогие тарифы;дорогие тарифы
83;расчетным счем не пользуется;не нужен\не может\не хочет;не нужен\не может\не хочет
84;заинтересованности не выявленно;не нужен\не может\не хочет;не нужен\не может\не хочет
85;уже есть р с;счет есть;счет есть
86;леонид георгиевич;мусор;мусор
87;отказ нет необходимости;не нужен\не может\не хочет;отказ
88;контактные данные не корректны;нет контактов;нет контактов
89;неитересно;не нужен\не может\не хочет;не нужен\не может\не хочет
90;не хочет сотрудничать;не нужен\не может\не хочет;не нужен\не может\не хочет
91;нет потребности счет закрыт;не нужен\не может\не хочет;не нужен\не может\не хочет
92;не устраиваю тарифы;дорогие тарифы;дорогие тарифы
93;на данный момент;пока;пока
94;не планирует открывать счет;др банк;не нужен\не может\не хочет
95;перезвон;звонок;звонок
96;валютный счет не нужен;не нужен\не может\не хочет;не нужен\не может\не хочет
97;счета не требуются;не нужен\не может\не хочет;не нужен\не может\не хочет
98;счет открыт;счет есть;счет есть
99;нет категорически;отказ категорический;отказ категорический
100;банкротство организации;банкротство;банкротство
101;не отвечает на звонки;отказ;не ответили
102;не заинтересованы;не нужен\не может\не хочет;не нужен\не может\не хочет
103;организация ликвидирована отказ;ликвидация;ликвидация
104;нет необходимости у клиента;не нужен\не может\не хочет;не нужен\не может\не хочет
105;нет потребности некогда разговаривать;не нужен\не может\не хочет;не нужен\не может\не хочет
106;нет актуального номера телефона;нет контактов;нет контактов
107;сотрудники на км сити;км;км
108;в другом регионе;территориально;территориально
109;не устраивает тариф;дорогие тарифы;дорогие тарифы
110;клиент планирует закрывать предприятие; не ведет деятельность; не ведет деятельность
111;отказ дорогое обслуживание;дорогие тарифы;дорогие тарифы
112;счет открыт в всп;др банк;счет есть
113;мдм банк переходитьне хотят;др банк;др банк
114;обслуживание в другом банке;др банк;др банк
115;договорились созвониться;звонок;звонок
116;активная деятельность не осуществляется;небольшие обороты;небольшие обороты
117;нет потребности в продукте;не нужен\не может\не хочет;не нужен\не может\не хочет
118;счет был закрыт;счет закрыт;счет закрыт
119;рс открыт;счет есть;счет есть
120;потребности нет;не нужен\не может\не хочет;не нужен\не может\не хочет
121;имеется действующий р с;счет есть;счет есть
122;счет открыт;счет есть;счет есть
123;блокировка по фз;не соответсвует требованиям;не соответсвует требованиям
124;отзаз обслуживание через депортамент;отказ;отказ
125;нет потребнотси в рко;не нужен\не может\не хочет;не нужен\не может\не хочет
126;доп услуги не интересуют;не нужен\не может\не хочет;счет есть
127;спарк телефон не отвечает;не ответили;не ответили
128;нужно время подумать;думает;думает
129;отказ от дополнительных услуг;отказ;отказ
130;не будут открывать чет;отказ;отказ
131;рко уже есть;счет есть;счет есть
132;нет потребности в рко;не нужен\не может\не хочет;не нужен\не может\не хочет
133;клиент приостановил деятельность; не ведет деятельность; не ведет деятельность
134;уже есть з п;счет есть;счет есть
135;работает по счету сбербанка;счет есть сб;счет есть сб
136;продукт уже есть;счет есть;счет есть
137;отправлены кп;выполнено;выполнено
138;авангард арбузова анна владимировна;др банк;др банк
139;имп отказ нет потребности;не нужен\не может\не хочет;не нужен\не может\не хочет
140;эквайринг установлен в марте;др продукт сб;др продукт сб
141;нет актуальных телефонов;нет контактов;нет контактов
142;обслуживаются в уфк;казн. + бюджет;казн. + бюджет
143;счет открыли;счет есть;счет есть
144;не устроили параметры;условия;условия
145;закрыли сфет по фз; не ведет деятельность; не ведет деятельность
146;работают с промсвязь банком;др банк;др банк
147;ооо закрыто; не ведет деятельность; не ведет деятельность
148;не устраивают процентные ставки;дорогие тарифы;дорогие тарифы
