;text;result;predict_cl
0;нет потребности орвердрафтах;отказ нет потребности;не нужен\не может\не хочет
1;сотр с другим банком;отказ нет потребности;др банк
2;не лоялен к банку;отказ нет потребности;не лоялен 
3;услуга не интересует;отказ нет потребности;не нужен\не может\не хочет
4;не устраивает параметры залога;отказ не устр параметры;условия
5;александр;отказ нет потребности;мусор
6;зп думают опрашивают сотрудников;отказ нет потребности;не нужен\не может\не хочет
7;клиент черной зоны отказ;отказ нет потребности;черная зона
8;организация не работает закрыта;фз – отказ клиента;не ведет деятельность
9;своими средствами обходится;отказ нет потребности;не нужен\не может\не хочет
10;нужен кредит;отказ нет потребности;не нужен\не может\не хочет
11;еобхлдимости в кредитн нет;отказ нет потребности;не нужен\не может\не хочет
12;кредит закрыт;отказ не устр параметры;досрочное гашение
13;не устраивает ставка;отказ не устр параметры;отказ
14;местонахожждение в другом городе;отказ нет потребности;территориально
15;отказ организация не кредитуется;отказ нет потребности;отказ
16;категорически отказ от кредитования;отказ нет потребности;отказ категорический
18;организация банкор счет закрыт;отказ нет потребности;счет закрыт
19;отказ собственника объекта;отказ нет потребности;отказ
20;в настоящий момент отказ;отказ нет потребности;отказ
21;кредиты есть;отказ нет потребности;есть кредит
22;отказ не нуждается;отказ нет потребности;отказ
23;не актуален кредит;отказ нет потребности;не нужен\не может\не хочет
24;драгон не интересно финансирование;отказ нет потребности;не нужен\не может\не хочет
25;категорический отказ;отказ нет потребности;отказ категорический
26;перезвонить в конце января;отказ нет потребности;звонок
27;назначена встреч на;отказ нет потребности;надежда есть
28;не усатроили параметры кредита;отказ не устр параметры;условия
29;нет необходимости в кредитах;отказ нет потребности;не нужен\не может\не хочет
30;ликвидация в год;отказ не лоялен к банку;ликвидация
31;сделка по доверию заключена;отказ нет потребности;др продукт сб
32;отправлено кп по зпп;отказ нет потребности;выполнено
33;не интересует;отказ нет потребности;не нужен\не может\не хочет
34;не испытываем потребности;отказ не лоялен к банку;не нужен\не может\не хочет
35;закрыт счет по финмонитоиингу;отказ нет потребности;счет закрыт
36;николай;отказ нет потребности;мусор
37;организация новая мало работают;отказ нет потребности;новая компания
38;нет кредиты не нужны;отказ нет потребности;не нужен\не может\не хочет
39;прекратило деятельность егрюл;отказ нет потребности;не ведет деятельность
40;клиент леквидировал ип;отказ нет потребности;ликвидация
41;клиент уже открыл счет;отказ нет потребности;счет есть
42;продукт у клиента имеется;отказ нет потребности;др продукт сб
43;потребность отсутствует отказ;отказ нет потребности;не нужен\не может\не хочет
44;туристическая деятельность не кредитуем;отказ нет потребности;не нужен\не может\не хочет
45;кредитуется клиент в россельхозбанке;отказ нет потребности;др банк
46;клиент находится на реструктуризации;отказ нет потребности;реструктуризация
47;клент обходится без кредитов;отказ нет потребности;не нужен\не может\не хочет
48;клиент на просрочке;отказ нет потребности;просрочка
49;клиент отказывается от кредитования;отказ нет потребности;отказ
50;ломбард не кредитуем;отказ нет потребности;не нужен\не может\не хочет
51;вопрос кредитование не актуален;отказ нет потребности;не нужен\не может\не хочет
52;высокий процент;отказ не устр параметры;дорогие тарифы
53;бизнес ведется в нижнеколымске;отказ не устр параметры;территориально
54;нет подребности;отказ нет потребности;не нужен\не может\не хочет
55;закрыла счет;отказ нет потребности;счет закрыт
56;кредитуется головная компания группы;отказ нет потребности;отказ
57;был отказ по кредиту;отказ сотруднич с др банком;не соответсвует требованиям
58;пока нет такой потребности;отказ нет потребности;не нужен\не может\не хочет
59;справляются собственными средствами;отказ нет потребности;не нужен\не может\не хочет
60;ип ликвидировано;отказ не лоялен к банку;ликвидация
61;берут в втб;отказ сотруднич с др банком;др банк
62;клиенты не кредитуются отказ;отказ нет потребности;отказ
63;нет;отказ нет потребности;не нужен\не может\не хочет
64;отказ дудченко;отказ нет потребности;отказ
65;подумает возможно после лета;отказ нет потребности;думает
66;есть кассовые разрывы;отказ нет потребности;проблемы
67;на балансе другого банка;отказ нет потребности;др банк
68;клиент ждет лучших времен;отказ нет потребности;отказ
69;нет потреб в кред;отказ нет потребности;не нужен\не может\не хочет
70;кредитуются внутри группы;отказ нет потребности;отказ
71;клиент использует продукт банка;отказ нет потребности;др продукт сб
72;потребности на сегодня нет;отказ нет потребности;не нужен\не может\не хочет
73;отказался от доп услуг;отказ нет потребности;не нужен\не может\не хочет
74;клиент закрывает организацию;отказ нет потребности;не ведет деятельность
75;возможно кредитование в кв;отказ нет потребности;надежда есть
76;высокая ставка по кредиту;отказ не устр параметры;не соответсвует требованиям
77;отказ по кредитованию;отказ нет потребности;отказ
78;отказ сложные погодные условия;отказ нет потребности;отказ
79;нуждается;отказ нет потребности;не нужен\не может\не хочет
80;завершение деятельности;отказ нет потребности;не ведет деятельность
81;галина александровна;отказ нет потребности;мусор
82;проведены переговоры нет потребности;отказ нет потребности;не нужен\не может\не хочет
83;клиент отказался от кк;отказ не устр параметры;отказ
84;у клиента нет поручителя;отказ нет потребности;не нужен\не может\не хочет
85;иное не готов встречаться;отказ не лоялен к банку;отказ
86;телефон отключен не дозвонился;отказ нет потребности;не ответили
87;озможно в феврале;отказ нет потребности;пока
88;проконсультировал отказ;отказ нет потребности;отказ
89;предложение не заинтересовало;отказ нет потребности;не нужен\не может\не хочет
90;прекращение деятельности организации;отказ нет потребности;не ведет деятельность
91;имеется автомобиль в лизинге;отказ нет потребности;др продукт сб
92;рук ль обдумает предложение;отказ нет потребности;думает
