;Unnamed: 0;TEXT;class
0;0;назначена встреча;встреча
1;1;клиенты взяли связанную компанию дополнительные кредитные денежные средства не_требуются;отказ
2;2;клиенту выслано предложения лизингу после ознакомления клиент подойдет встречу;встреча
3;3;назначена встреча;встреча
4;4;назначена встреча;встреча
5;5;назначена встреча;встреча
6;6;разговаривала клиентом договорились встречу предварительно перезвонить первой половине;звонок
7;8;гайткулов жамиль шамильевич генеральный директор занимаются авиаперевозками международными сотрудничают бридж карго эмирейтс выручка году сослов клиента около генеральный улетает екатеринбург планируем встречу после;род деятельности
8;9;обслуживается сбер выручка нети вырчка спарк предложение кредитование не_интересно не_кредитуются заинтересованность заключили конракт залогов нет_лизинг приобретать ничго не_планируют;не лоялен 
9;10;клиент озвучил лизинг настоящее время не_нужен;отказ
10;11;клиент сейчас проживает далеко города приехать пока не_родила не_давно;территориально
11;12;воробьев илья игоревич гудки телефону не_подходит выставить повторные звонок;звонок
12;13;клиент не_торгует розницу основная деятельность связана работой рамках;не ведет деятельность
14;15;кулаков дмитрий сергеевич директор назначена встреча обсуждения вопроса дальнейшего сотрудничества;встреча
15;16;приостановление действия договора клиент не_соответствует требованиям банка;не соответсвует требованиям
16;18;овердрафт не_рассчитывается отсутствовали обороты разговаривали насчет штате человек получают наличкой снимают чековой книжке категорически не_хотят проконсультировала условиям подумают;интересует
17;19;встреча состоялась место клиент информация бизнесе деятельность грузового транспорта добыча глины каолина результат результат кредитные средства не_нужны приобретать не_собираются брали лизинг балтийсмком лизинге сейчас идет гашение обращались назад подвел клиента лизинге отказали больше не_хотят иметь лизингу банк гарантиям не_работают информацию работе банками предоставить отказались план действий план действий намечен след контакт нет_продуктов;безналичный
18;20;указанный телефон не_отвечает контакты спарка не_возможно дозвониться;нет контактов
19;21;денежные средства размещены;не нужен\не может\не хочет
20;22;клиент согласен встречу;клиент согласен на
21;23;встреча;встреча
22;24;клиент заинтересован сотрудничестве всему спектру услуг первостепенно интересует кредитование договорились встречу отчетность;не нужен\не может\не хочет
23;25;не_отвечает течении недели звонил более повторный звонок выставлен контакты спарк сббол;звонок
24;26;назначена встреча клиентом предварительно перезвонить;встреча
25;27;данная организация некорректно закреплена относиться сегменту крупный бизнес;сегмент
26;28;текущий момент рассматривается вопрос кредитованию залог автомобиля который необходимо застраховать предложение эквайринга не_актуально занимается штукатурными малярными работами которые оказывает;отказ
27;29;овердрафт не_рассчитался;др продукт сб
28;30;директор демин александр_сергеевич согласился встречу своей территории будут интересовать темы банковских гарантий финансирование контрактов;отказ
29;31;согласовать встречу не_удалось виду большой загруженности разговаривал попова наталья евгеньевна обменялись контактными данными интерес размещению депозита перспективу занимаются арендным бизнесом эквайринг не_подходит возможный продукт;клиент согласен на
30;32;встреча состоялась результат клиента заинтересовала бизнес оборот назначена сделка mmgn корп карте направлено кредитованию клиент взял время подумать залог предоставить личный автомобиль квартиру план действий назначен след звонок;сделка
31;33;прекращ сокращ деятельности клиента не_дозвониться сократилась деятельность нашем банке;не ведет деятельность
32;34;встреча место магистральная информация бизнесе клиент занимается оптовой торговлей металлом металлообработкой строительством металл конструкций офис ангар находится адресу ведения бизнеса связная компания метрикс результат клиент не_кредитуется отказался выплачивает наличкой отказался снятие не_актуально операции безналично план действий следующая встреча;встреча
33;35;клиент попросил перезвонить необходимо обсудить кредитование;звонок
